Name,Religion,Gender,Words
Ragnar Lothbrok,Viking,male,649
Lagertha,Viking,female,2804
Rollo,Viking,male,518
Siggy,Viking,female,0
Floki,Viking,male,4454
Earl Haraldson,Viking,male,0
Athelstan,Christian,male,44
King Horik of Denmark,Viking,male,0
Aslaug,Viking,female,0
King Ecbert of Wessex,Christian,male,0
Bjorn Ironside,Viking,male,7767
Kalf,Viking,male,0
Harbard,Viking,male,0
Emperor Charles of West Francia,Christian,male,0
The Seer,Viking,male,174
King Harald Finehair,Viking,male,5485
Halfdan the Black,Viking,male,542
Ivar the Boneless,Viking,male,11846
Hvitserk,Viking,male,6034
Sigurd Snake-in-the-Eye,Viking,male,0
Ubbe,Viking,male,3778
Aethelwulf,Christian,male,1609
Bishop Heahmund,Christian,male,7298
Oleg the Prophet,Christian,male,0
Erik the Red,Viking,male,0
Torvi,Viking,female,2578
Gunnhild,Viking,female,453
