Name,Occurences,Latitude,Longitude
Kattegat,217,59.9133301,10.7389701
England,92,54.7023545,-3.2765753
Northumbria,11,53.407154,-2.991665
Mercia,81,52.6361398,-1.1330789
Uppsala,5,59.8586126,17.6387436
Frankia,27,46.603354,1.8883335
Wessex,122,51.5073219,-0.1276474
Winchester,6,51.0612766,-1.3131692
Egypt,1,26.2540493,29.2675469
Paris,128,48.8566969,2.3514616
Kiev,8,50.4500336,30.5241361
Russia,1,64.6863136,97.7453061
Saint-Denis,3,48.935773,2.3580232
Troyes,2,48.2971626,4.0746257
Rome,19,41.8933203,12.4829321
Norway,76,64.5731537,11.52803643954819
Reims,1,49.2577886,4.031926
China,3,35.000074,104.999927
Arles,1,43.6776223,4.6309653
Marks,1,51.7069911,46.7483653
Spain,1,39.3262345,-4.8380649
Algeciras,1,36.1310804,-5.4487055
Sweden,2,59.6749712,14.5208584
Denmark,4,55.670249,10.3333283
York,49,53.9590555,-1.0815361
Cornwall,2,50.416667,-4.75
Kairouan,2,35.6710101,10.10062
Ireland,3,52.865196,-7.9794599
Saint Paul,1,49.4318046,2.0100016
Damascus,1,33.5130695,36.3095814
Canterbury,1,51.2800275,1.0802533
Dublin,1,53.3497645,-6.2602732
Iceland,15,64.9841821,-18.1059013
